# forge coverage --ir-minimum via scripts/coverage.sh, 2026-09-13T07:08Z
| File                              | % Lines          | % Statements     | % Branches       | % Funcs          |
| src/AttestedWorldID.sol           | 90.13% (137/152) | 88.35% (182/206) | 82.93% (34/41)   | 90.00% (18/20)   |
| src/CreditHistory.sol             | 98.86% (87/88)   | 98.52% (133/135) | 100.00% (17/17)  | 100.00% (15/15)  |
| src/CreditLine.sol                | 96.03% (145/151) | 97.27% (178/183) | 100.00% (31/31)  | 92.31% (24/26)   |
| src/EthRepay.sol                  | 98.21% (55/56)   | 97.67% (84/86)   | 100.00% (11/11)  | 100.00% (7/7)    |
| src/HUSD.sol                      | 100.00% (13/13)  | 100.00% (13/13)  | 100.00% (2/2)    | 100.00% (3/3)    |
| src/HumanLinks.sol                | 100.00% (55/55)  | 100.00% (72/72)  | 100.00% (12/12)  | 100.00% (12/12)  |
| src/HumanRegistry.sol             | 100.00% (24/24)  | 100.00% (26/26)  | 100.00% (5/5)    | 100.00% (4/4)    |
| src/ProvenSource.sol              | 77.46% (55/71)   | 81.13% (86/106)  | 89.47% (17/19)   | 70.00% (7/10)    |
| src/RelayReward.sol               | 98.41% (62/63)   | 97.47% (77/79)   | 92.86% (13/14)   | 100.00% (10/10)  |
| src/examples/HumanGate.sol        | 100.00% (8/8)    | 100.00% (8/8)    | 100.00% (2/2)    | 100.00% (2/2)    |
| src/interfaces/IAttestorStash.sol | 0.00% (0/2)      | 0.00% (0/2)      | 100.00% (0/0)    | 0.00% (0/1)      |
| src/interfaces/IChainInfo.sol     | 0.00% (0/2)      | 0.00% (0/2)      | 100.00% (0/0)    | 0.00% (0/1)      |
| src/libraries/ByteHasher.sol      | 100.00% (2/2)    | 100.00% (2/2)    | 100.00% (0/0)    | 100.00% (1/1)    |
| Total                             | 93.60% (643/687) | 93.59% (861/920) | 93.51% (144/154) | 91.96% (103/112) |
